,temperature,dewPoint,precipRate,precipProbability,pressure,cloudCover,didPrecip
0,3.74,-8.48,0,0,1018.22,0.7,0
1,-0.15,-9.39,0,0,1018.61,0.6,0
2,-4.46,-10.42,0.0001,0.03,1018.86,0.47,0
3,-6.9,-11.29,0.0002,0.04,1019.37,0.47,0
4,-7.48,-11.73,0.0003,0.04,1019.55,0.54,null
5,-7.82,-11.96,0.0004,0.04,1019.63,0.65,null
6,-8.49,-12.34,0.0004,0.04,1019.69,0.72,0
7,-9.49,-12.94,0.0002,0.04,1019.65,0.69,0
8,-10.61,-13.7,0,0,1019.59,0.61,0
9,-11.77,-14.79,0,0,1019.68,0.54,0
10,-13.14,-16.36,0,0,1020.1,0.48,null
11,-14.66,-18.4,0,0,1020.65,0.42,0
12,-15.84,-20.32,0.0001,0.04,1021.19,0.37,0
13,-16.9,-21.96,0.0001,0.04,1021.67,0.33,0
14,-17.84,-23.44,0.0001,0.03,1022.14,0.29,0
15,-18.24,-24.77,0,0,1022.51,0.27,0
16,-18.65,-25.79,0.0001,0.03,1022.71,0.27,0
17,-19.14,-26.46,0.0001,0.04,1022.8,0.29,0
18,-19.98,-26.9,0.0001,0.04,1022.89,0.31,0
19,-20.41,-26.78,0.0001,0.03,1023.11,0.33,0
20,-20.37,-26.43,0.0001,0.03,1023.31,0.34,0
21,-19.32,-26.06,0.0002,0.04,1023.43,0.36,0
22,-18.1,-25.73,0.0002,0.04,1023.25,0.38,0
23,-16.82,-25.43,0.0003,0.04,1022.93,0.4,0
24,-16.57,-25.36,0.0003,0.04,1022.83,0.41,0
25,-17.34,-25.61,0.0002,0.03,1023.18,0.42,0
26,-18.63,-26.04,0.0001,0.03,1023.77,0.42,0
27,-19.38,-26.53,0,0,1024.27,0.42,0
28,-19.96,-26.9,0.0001,0.03,1024.55,0.42,0
29,-20.31,-27.22,0.0001,0.03,1024.74,0.42,0
30,-20.89,-27.6,0.0001,0.03,1024.84,0.41,0
31,-21.72,-28.04,0,0,1024.88,0.41,0
32,-22.63,-28.42,0.0001,0.03,1024.84,0.4,0
33,-23.27,-28.73,0.0002,0.04,1024.81,0.39,0
34,-23.79,-29.11,0.0002,0.04,1024.84,0.39,0
35,-24.21,-29.36,0.0002,0.04,1024.88,0.38,0
36,-24.46,-29.62,0.0001,0.04,1024.95,0.38,0
37,-24.5,-29.93,0,0,1025.02,0.39,0
38,-24.41,-30.25,0,0,1025.14,0.41,0
39,-24.05,-30.5,0,0,1025.24,0.43,0
40,-23.94,-30.81,0,0,1025.33,0.47,0
41,-24.19,-31.13,0,0,1025.43,0.5,0
42,-24.94,-31.19,0,0,1025.48,0.53,0
43,-25.67,-30.89,0,0,1025.5,0.55,0
44,-25.59,-30.31,0,0,1025.48,0.56,0
45,-24.97,-29.8,0.0001,0.03,1025.45,0.59,0
46,-23.22,-29.34,0,0,1025.5,0.64,0
47,-21.51,-28.95,0,0,1025.57,0.7,0
48,-20.42,-28.7,0,0,1025.64,0.73,0
